City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yelizovo,RU,2021-10-11 00:28:36,53.1873,158.3805,41.14,100,90,20.13
68,Calabozo,VE,2021-10-11 00:28:36,8.9242,-67.4293,81.54,72,97,3.11
69,Kenai,US,2021-10-11 00:26:12,60.5544,-151.2583,48.02,71,1,17.27
70,Conneaut,US,2021-10-11 00:28:37,41.9476,-80.5542,71.2,77,73,14.65
71,Nuristan,AF,2021-10-11 00:28:37,35.3,70.8333,31.53,56,0,5.68
72,Jamestown,US,2021-10-11 00:28:37,42.097,-79.2353,65.79,84,1,5.01
73,Berbera,SO,2021-10-11 00:28:38,10.4396,45.0143,86.99,69,31,6.24
74,Canutama,BR,2021-10-11 00:28:38,-6.5339,-64.3831,83.16,57,59,2.15
75,Coihaique,CL,2021-10-11 00:27:02,-45.5752,-72.0662,49.95,71,75,3.44
76,Castro,BR,2021-10-11 00:28:38,-24.7911,-50.0119,56.44,97,99,11.95
77,Yellowknife,CA,2021-10-11 00:24:21,62.456,-114.3525,35.42,100,90,8.01
78,Maragogi,BR,2021-10-11 00:25:24,-9.0122,-35.2225,76.3,82,75,8.5
79,Hithadhoo,MV,2021-10-11 00:28:39,-0.6,73.0833,82.72,68,99,15.14
80,Zheleznodorozhnyy,RU,2021-10-11 00:28:39,55.7503,38.0042,41.22,67,19,4.32
81,Noramarg,AM,2021-10-11 00:28:40,40.0238,44.424,44.92,81,0,0.0
82,Ouesso,CG,2021-10-11 00:28:40,1.6136,16.0517,70.27,99,99,0.04
83,Adrar,MR,2021-10-11 00:24:44,20.5022,-10.0711,85.53,13,91,4.81
84,Klaksvik,FO,2021-10-11 00:28:41,62.2266,-6.589,41.92,82,98,12.15
85,Saint-Pierre,RE,2021-10-11 00:28:41,-21.3393,55.4781,71.24,71,0,5.75
86,Yermakovskoye,RU,2021-10-11 00:28:42,53.2831,92.4003,42.62,60,100,2.73
87,Vilyuysk,RU,2021-10-11 00:28:42,63.7553,121.6247,32.31,87,96,12.08
88,Portland,US,2021-10-11 00:27:44,45.5234,-122.6762,57.61,66,75,5.01
89,Libertador General San Martin,AR,2021-10-11 00:28:42,-23.8064,-64.7876,73.94,75,22,3.56
