City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,La Cruz,MX,80.89,scattered clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
218,Vanimo,PG,84.38,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
223,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
228,Salaga,GH,74.57,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
233,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
243,Madang,PG,85.64,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
246,Velasco Ibarra,EC,75.06,overcast clouds,-1.05,-79.6167,White Room Studio
249,Sanchor,IN,86.83,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
253,Rabaul,PG,84.04,scattered clouds,-4.1967,152.1721,Rabaul Hotel
257,Eirunepe,BR,77.85,scattered clouds,-6.6603,-69.8736,Atrás de você
262,Hasaki,JP,86.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
263,Kahului,US,77.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
266,Manoel Urbano,BR,77.94,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
267,Tondano,ID,86.09,overcast clouds,1.3038,124.9112,Villa Bella
269,Port Blair,IN,83.03,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
275,Vaitape,PF,80.02,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
282,Matara,LK,82.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
287,Atar,MR,81.55,clear sky,20.5169,-13.0499,Oumou Elghoura
293,Roebourne,AU,83.37,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
298,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
300,Grand-Santi,GF,74.57,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
308,Hoa Binh,VN,73.29,light rain,20.8133,105.3383,Hoa Dao Hotel
310,Blythe,US,75.65,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
314,Kirakira,SB,80.98,overcast clouds,-10.4544,161.9205,SanBiz Lodge
315,Chapada Dos Guimaraes,BR,78.46,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
323,Sosua,DO,77.23,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
324,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
328,Sorong,ID,87.49,overcast clouds,-0.8833,131.25,waigo splash hotel
330,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
333,Singanallur,IN,84.76,scattered clouds,11,77.0167,Aloft Coimbatore Singanallur
338,Pochutla,MX,78.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
345,Banda Aceh,ID,87.01,overcast clouds,5.5577,95.3222,Sulthan Hotel International
347,Namatanai,PG,83.77,light rain,-3.6667,152.4333,Seagulls Inn Namatani
350,Tateyama,JP,83.14,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
354,Cape Girardeau,US,73.58,clear sky,37.3834,-89.7168,Independence Park Mobile Home Court
